UWI,depth,latitude,longitude,gamma,neutron porosity,pe,sp,member,formation
4900722319,1869,41.61984,107.912908,61.0101,0.4589,4.2107,23.4741,Tfob,Tfu
4900722319,1869.5,41.61984,107.912908,59.8789,0.4608,4.3897,23.5281,Tfob,Tfu
4900722319,1870,41.61984,107.912908,57.4753,0.4487,4.4915,23.2304,Tfob,Tfu
4900722319,1870.5,41.61984,107.912908,59.6904,0.4372,4.5079,23.067,Tfob,Tfu
4900722319,1871,41.61984,107.912908,60.3267,0.4382,4.5403,22.4235,Tfob,Tfu
4900722319,1871.5,41.61984,107.912908,59.3841,0.4361,4.615,22.4177,Tfob,Tfu
4900722319,1872,41.61984,107.912908,53.7284,0.4269,4.706,22.3184,Tfob,Tfu
4900722319,1872.5,41.61984,107.912908,49.1568,0.4311,4.7378,22.6672,Tfob,Tfu
4900722319,1873,41.61984,107.912908,48.0493,0.4438,4.7715,23.0422,Tfob,Tfu
4900722319,1873.5,41.61984,107.912908,51.4662,0.4382,4.9038,23.0582,Tfob,Tfu
4900722319,1874,41.61984,107.912908,56.7683,0.4219,5.1466,22.8437,Tfob,Tfu
4900722319,1874.5,41.61984,107.912908,61.34,0.4227,5.4227,22.7941,Tfob,Tfu
4900722319,1875,41.61984,107.912908,61.0336,0.4301,5.6034,22.7182,Tfob,Tfu
4900722319,1875.5,41.61984,107.912908,57.4989,0.4284,5.6576,22.7824,Tfob,Tfu
4900722319,1876,41.61984,107.912908,53.8698,0.4316,5.6393,23.1355,Tfob,Tfu
4900722319,1876.5,41.61984,107.912908,53.3514,0.4433,5.6574,23.4916,Tfob,Tfu
4900722319,1877,41.61984,107.912908,55.3073,0.442,5.7269,23.8914,Tfob,Tfu
4900722319,1877.5,41.61984,107.912908,55.0952,0.4395,5.7719,23.7907,Tfob,Tfu
4900722319,1878,41.61984,107.912908,54.0112,0.4522,5.7227,24.0563,Tfob,Tfu
4900722319,1878.5,41.61984,107.912908,52.4559,0.4521,5.5985,24.1803,Tfob,Tfu
4900722319,1879,41.61984,107.912908,52.5266,0.43,5.423,24.4546,Tfob,Tfu
4900722319,1879.5,41.61984,107.912908,51.0656,0.4057,5.2482,24.3919,Tfob,Tfu
4900722319,1880,41.61984,107.912908,49.039,0.3949,5.1055,24.2241,Tfob,Tfu
4900722319,1880.5,41.61984,107.912908,48.6619,0.4039,5.0587,23.8768,Tfob,Tfu
4900722319,1881,41.61984,107.912908,52.2203,0.4199,5.0959,24.0563,Tfob,Tfu
4900722319,1881.5,41.61984,107.912908,57.8052,0.4263,5.1727,23.8243,Tfob,Tfu
4900722319,1882,41.61984,107.912908,60.9158,0.4224,5.2162,23.4566,Tfob,Tfu
4900722319,1882.5,41.61984,107.912908,60.0675,0.4147,5.1728,23.6521,Tfob,Tfu
4900722319,1883,41.61984,107.912908,57.4989,0.411,5.046,23.6506,Tfob,Tfu
4900722319,1883.5,41.61984,107.912908,55.8729,0.4156,4.8741,23.5762,Tfob,Tfu
4900722319,1884,41.61984,107.912908,56.297,0.4253,4.7191,23.4536,Tfob,Tfu
4900722319,1884.5,41.61984,107.912908,59.7611,0.4389,4.5968,23.7601,Tfob,Tfu
4900722319,1885,41.61984,107.912908,62.5418,0.4406,4.4875,24.3831,Tfob,Tfu
4900722319,1885.5,41.61984,107.912908,62.5418,0.4311,4.3931,24.9449,Tfob,Tfu
4900722319,1886,41.61984,107.912908,61.3635,0.4413,4.3278,25.0558,Tfob,Tfu
4900722319,1886.5,41.61984,107.912908,63.6729,0.4545,4.3275,25.2469,Tfob,Tfu
4900722319,1887,41.61984,107.912908,66.6421,0.4551,4.3676,25.8218,Tfob,Tfu
4900722319,1887.5,41.61984,107.912908,68.4566,0.4483,4.4015,25.5139,Tfob,Tfu
4900722319,1888,41.61984,107.912908,64.7805,0.4353,4.3921,25.5242,Tfob,Tfu
4900722319,1888.5,41.61984,107.912908,62.6125,0.43,4.351,25.2528,Tfob,Tfu
4900722319,1889,41.61984,107.912908,60.3267,0.4239,4.3243,25.2017,Tfob,Tfu
4900722319,1889.5,41.61984,107.912908,59.3605,0.4208,4.3369,25.1565,Tfob,Tfu
4900722319,1890,41.61984,107.912908,57.4282,0.4261,4.3702,25.082,Tfob,Tfu
4900722319,1890.5,41.61984,107.912908,56.462,0.4182,4.3819,25.155,Tfob,Tfu
4900722319,1891,41.61984,107.912908,55.2602,0.4082,4.3945,25.3053,Tfob,Tfu
4900722319,1891.5,41.61984,107.912908,55.4251,0.4058,4.4328,25.4833,Tfob,Tfu
4900722319,1892,41.61984,107.912908,54.3883,0.4066,4.5157,25.5533,Tfob,Tfu
4900722319,1892.5,41.61984,107.912908,54.0584,0.4194,4.5682,25.9342,Tfob,Tfu
4900722319,1893,41.61984,107.912908,53.6106,0.4273,4.5743,26.1049,Tfob,Tfu
4900722319,1893.5,41.61984,107.912908,51.9139,0.4166,4.5272,26.5703,Tfob,Tfu
4900722319,1894,41.61984,107.912908,49.9109,0.4034,4.4723,26.6564,Tfob,Tfu
4900722319,1894.5,41.61984,107.912908,52.2438,0.3983,4.4217,26.7454,Tfob,Tfu
